iter	Passed	Remaining
0	27	10910
1	60	12107
2	100	13276
3	139	13835
4	172	13657
5	206	13555
6	241	13582
7	278	13648
8	310	13473
9	343	13397
10	376	13299
11	410	13258
12	443	13192
13	474	13080
14	503	12916
15	531	12758
16	561	12641
17	590	12531
18	620	12432
19	649	12345
20	679	12263
21	708	12175
22	737	12085
23	765	11993
24	794	11911
25	824	11860
26	854	11811
27	886	11775
28	916	11731
29	946	11679
30	978	11645
31	1008	11595
32	1038	11546
33	1068	11504
34	1097	11445
35	1126	11393
36	1156	11345
37	1187	11311
38	1218	11279
39	1278	11504
40	1311	11479
41	1340	11430
42	1371	11386
43	1406	11376
44	1436	11336
45	1466	11285
46	1495	11234
47	1526	11191
48	1557	11154
49	1586	11104
50	1616	11058
51	1643	11000
52	1672	10951
53	1701	10899
54	1730	10853
55	1760	10814
56	1788	10764
57	1819	10726
58	1849	10691
59	1881	10661
60	1916	10650
61	1953	10652
62	1996	10681
63	2034	10680
64	2065	10647
65	2096	10610
66	2129	10584
67	2160	10546
68	2191	10512
69	2223	10482
70	2255	10452
71	2286	10416
72	2321	10399
73	2357	10383
74	2392	10369
75	2431	10364
76	2461	10323
77	2491	10285
78	2522	10249
79	2553	10214
80	2585	10184
81	2616	10146
82	2648	10114
83	2679	10080
84	2714	10058
85	2752	10050
86	2784	10017
87	2815	9983
88	2845	9943
89	2874	9901
90	2905	9864
91	2936	9829
92	2965	9788
93	2995	9749
94	3025	9714
95	3055	9676
96	3084	9635
97	3112	9592
98	3142	9553
99	3170	9512
100	3199	9471
101	3229	9435
102	3257	9393
103	3288	9359
104	3318	9324
105	3348	9288
106	3379	9254
107	3413	9229
108	3441	9188
109	3470	9150
110	3500	9112
111	3528	9072
112	3558	9036
113	3586	8997
114	3617	8964
115	3683	9019
116	3718	8993
117	3749	8960
118	3785	8939
119	3820	8914
120	3857	8893
121	3902	8893
122	3966	8932
123	4010	8926
124	4042	8893
125	4071	8853
126	4102	8818
127	4129	8775
128	4158	8736
129	4186	8694
130	4214	8654
131	4245	8620
132	4281	8595
133	4315	8566
134	4351	8541
135	4381	8505
136	4408	8463
137	4437	8425
138	4467	8389
139	4498	8353
140	4528	8317
141	4557	8280
142	4587	8244
143	4615	8206
144	4644	8167
145	4673	8130
146	4703	8095
147	4733	8059
148	4769	8034
149	4823	8038
150	4873	8037
151	4912	8015
152	4952	7995
153	4991	7974
154	5029	7950
155	5064	7922
156	5097	7890
157	5139	7871
158	5180	7851
159	5218	7828
160	5253	7798
161	5286	7766
162	5319	7734
163	5352	7702
164	5385	7669
165	5416	7635
166	5449	7603
167	5483	7572
168	5516	7539
169	5544	7501
170	5573	7463
171	5603	7428
172	5633	7391
173	5667	7361
174	5704	7334
175	5744	7310
176	5780	7282
177	5814	7252
178	5847	7219
179	5881	7188
